[20031.767491312923, -2576.9996734857173, 19482.339260857018, 51534.182016155966, 40572.68536957328, 60274.96579587052, 61395.235227970516, 54990.275799068906]
[20833.546916669242, -1896.6125722661702, 20329.760948391075, 51030.57486183344, 41189.45940607302, 58849.66210718896, 60442.33565835186, 55515.87706993545]
[21304.229951409096, -1447.7224883702384, 20789.581035325653, 50903.25932541601, 41634.23676898918, 58301.86555407829, 60022.99458062585, 55932.17831041555]
[20563.64960237141, -2062.283702168906, 20021.217467930015, 51367.39329903046, 41071.57630581574, 59606.872154101395, 60879.55813164212, 55447.547787135576]
[20032.7286163245, -2555.5419988086223, 19482.026336434643, 51613.240136294386, 40590.52206164862, 60401.6554834432, 61484.64220579174, 55020.89768897268]
[20717.496659457287, -1993.1721083130967, 20204.70293816363, 51174.050709492054, 41093.481015381934, 59172.35424189022, 60688.29425433806, 55448.50891214716]
[21380.695269190703, -1389.2503248751552, 20868.773265930806, 50920.76074132451, 41670.58070547351, 58274.462315376084, 60031.51059526332, 55976.65828188161]
[20791.838561515637, -1870.3045690422737, 20235.011903645027, 51320.40993218541, 41242.52244740992, 59360.13124705926, 60729.30970541355, 55618.471576985314]
[20035.500232636958, -2555.7655162531755, 19451.896184908892, 51629.02046787983, 40561.64360781236, 60402.21427705458, 61484.75396451402, 55037.54973859188]
[20547.6010498525, -2156.09397364783, 19958.118493332684, 51263.703556502296, 40919.02564990827, 59457.36133543985, 60892.58919865957, 55332.548061913025]
[21353.69436188869, -1424.320211925532, 20837.816099860203, 50908.80255804093, 41609.15811171033, 58283.76064106949, 60056.11986590861, 55946.438723378036]
[20962.96351706547, -1721.017267825278, 20433.584801385976, 51235.56271023306, 41378.48810893156, 59076.532313410324, 60544.147854345785, 55746.547072714224]
[20121.84502146781, -2471.8123640790423, 19549.77447387868, 51644.71139248746, 40646.490829764705, 60372.03942203992, 61466.3584788273, 55128.119007124784]
[20371.98339366715, -2301.536774818513, 19819.91765736552, 51362.43121176138, 40784.982238409786, 59729.47147243875, 61077.01344216031, 55215.939011089686]
[21255.86077640781, -1520.6562305279053, 20743.156462091978, 50925.34284893786, 41511.07865704044, 58338.857691151825, 60103.19263973149, 55857.25526300136]
[21114.106013072254, -1595.8474988755584, 20601.133477822958, 51144.05466843303, 41534.01154685159, 58821.096577775075, 60373.31347147387, 55850.05800128675]
[20247.68534275119, -2345.502656162102, 19701.09578384111, 51647.55006403328, 40818.12987543701, 60285.53817099788, 61399.88439081721, 55243.67752595872]
[20265.67849703771, -2373.7999646425205, 19734.556345290704, 51504.744768708326, 40744.12324954549, 60027.33081905018, 61282.02364230438, 55169.60384483384]
[21209.749127596515, -1550.048774486634, 20709.025348308725, 51035.156969446776, 41491.7443980866, 58571.025260809096, 60286.85692392074, 55844.00067853936]
[21325.531163875006, -1402.840185503982, 20803.819096543684, 51151.65426154784, 41674.514612497645, 58678.335985939026, 60307.37582533072, 56017.9196021461]
[20434.165946741814, -2172.5225058224805, 19868.063314922252, 51650.36638383465, 40959.63876958356, 60137.65902968157, 61310.79033741836, 55396.69756849975]
[20200.210237528114, -2425.1195699119057, 19638.197974943876, 51620.504453242356, 40675.16811790087, 60251.988202570465, 61447.583013484844, 55136.97029792909]
[21097.342204730776, -1656.018394949245, 20574.847826343517, 51125.68153449077, 41383.47254794509, 58798.74483331977, 60469.71654530961, 55755.68893619644]
[21460.289831196053, -1293.7636725620835, 20927.20072593698, 51117.8137204425, 41750.26467445668, 58528.601649832926, 60241.54993790984, 56109.24882999049]
[20605.3132540361, -2024.5316057838925, 20031.275752934904, 51588.2285342489, 41080.51700359786, 59899.27767506572, 61153.00937330835, 55526.31533459608]
[20136.88774548623, -2477.042672281584, 19565.577157208583, 51689.3478261647, 40630.196408056785, 60393.43004148365, 61537.1241017728, 55114.88677440724]
[20941.595249366197, -1798.6448763185592, 20409.22139992969, 51228.07487584053, 41247.30572072336, 59055.96870851144, 60656.95710861172, 55642.76792320823]
[21463.53083414207, -1307.6217541243739, 20933.168641706543, 51042.75656256158, 41725.38718287792, 58365.635081009284, 60131.333486000716, 56078.87280927573]
[20764.368267580066, -1893.3715693201507, 20195.203446770127, 51488.651512700504, 41204.90446149164, 59601.17245926529, 60940.332524816105, 55634.140149848485]
[20108.389271305714, -2500.4225969818353, 19528.897944557422, 51720.684971891045, 40614.058448560056, 60449.30940262192, 61560.36991600632, 55100.35814051129]
[20717.38490073501, -2007.2760590643954, 20173.05286801492, 51282.09904218901, 41050.900942194574, 59290.57261831434, 60800.857639414986, 55465.04920304409]
[21448.465758379192, -1340.8811498738708, 20911.062766440245, 51009.3407046009, 41693.53594702911, 58313.04142630594, 60091.905008781556, 56050.441390328575]
[21001.87790416216, -1675.1738399474432, 20439.41860668881, 51460.93534957592, 41415.45789426064, 59384.762869449005, 60800.25414231469, 55831.19312896647]
[20187.84972284433, -2405.919421424797, 19624.853983504057, 51801.82180426381, 40718.48579865525, 60514.19651677567, 61610.817803241946, 55213.12269128832]
[20608.80012617113, -2080.9921122779983, 20076.582738945814, 51458.63311989703, 40977.386054681076, 59648.71461972173, 61061.16605534149, 55408.92397271681]
[21504.79215440657, -1273.6694542967623, 20975.748714893904, 51111.577583739476, 41732.740906803716, 58442.86035810237, 60215.219582941485, 56084.81837330084]
[21151.03109491242, -1541.5104081047068, 20595.07615507557, 51364.08524085108, 41517.67242165475, 59090.524505439345, 60599.69193931722, 55909.75951072687]
